"id";"pcbItemId";"projectPcbId";"pcbItemReferences";"pcbSheetName"
682;251;1;"CON1";"Main"
683;252;1;"C5, C6";"Main"
684;253;1;"C3, C4";"Main"
685;254;1;"C8";"Main"
686;255;1;"C7, C9";"Main"
687;256;1;"C10, C13, C14";"Main"
688;257;1;"P1";"Main"
689;258;1;"P2";"Main"
690;259;1;"P3";"Main"
691;260;1;"P8";"Main"
692;261;1;"P6";"Main"
693;262;1;"P7";"Main"
694;263;1;"P4";"Main"
695;264;1;"P5";"Main"
696;265;1;"C1, C2, C11, C12";"Main"
697;266;1;"D3";"Main"
698;267;1;"HS1";"Main"
699;268;1;"D1, D2";"Main"
700;269;1;"U8";"Main"
701;270;1;"U6";"Main"
702;271;1;"U9";"Main"
703;272;1;"U2, U3";"Main"
704;273;1;"U7";"Main"
705;274;1;"R1, R2";"Main"
706;275;1;"R5";"Main"
707;276;1;"R3, R4";"Main"
708;277;1;"R6, R7, R8, R9, R27, R28, R29, R30, R31";"Main"
709;278;1;"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23";"Main"
710;279;1;"R10, R11, R26";"Main"
711;280;1;"R24, R25";"Main"
712;281;1;"R12, R13";"Main"
713;282;1;"R34, R35";"Main"
714;283;1;"R36";"Main"
715;284;1;"R37";"Main"
716;285;1;"SW1";"Main"
717;286;1;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12";"Main"
718;287;1;"U1";"Main"
719;288;1;"U4";"Main"
720;289;1;"U5";"Main"
721;255;1;"C16";"Power"
722;290;1;"C17, C19";"Power"
723;252;1;"C18, C20";"Power"
724;291;1;"C15";"Power"
725;292;1;"F1";"Power"
726;267;1;"HS2, HS3";"Power"
727;294;1;"U10, U11";"Power"
728;295;1;"R32";"Power"
729;296;1;"R33";"Power"
730;286;1;"TP13, TP14, TP15, TP16, TP17";"Power"
