"id";"value";"footprint";"lib";"part"
1;"UNKNOWN";"";"";""
251;"BARREL_JACK";"Connectors:BARREL_JACK";"conn";"BARREL_JACK"
252;"2.2µ **";"Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Hand";"device";"C"
253;"10n";"Capacitors_SMD:C_0603_HandSoldering";"device";"C"
254;"10µ **";"Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Hand";"device";"C"
255;"100n";"Capacitors_SMD:C_0603_HandSoldering";"device";"C"
256;"1µ";"Capacitors_SMD:C_0603_HandSoldering";"device";"C"
257;"12V";"Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm";"conn";"CONN_01X02"
258;"5V";"Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm";"conn";"CONN_01X02"
259;"3V3";"Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm";"conn";"CONN_01X02"
260;"OUT";"Connectors:AK300-2";"conn";"CONN_01X02"
261;"SERIAL";"Connectors_Molex:Molex_PicoBlade_53047-0410_04x1.25mm_Straight";"conn";"CONN_01X04"
262;"I2C";"Connectors_Molex:Molex_PicoBlade_53047-0410_04x1.25mm_Straight";"conn";"CONN_01X04"
263;"GND";"Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm";"conn";"CONN_01X04"
264;"PGM";"Pin_Headers:Pin_Header_Angled_1x05_Pitch2.00mm";"conn";"CONN_01X05"
265;"1µ";"Capacitors_SMD:C_0603_HandSoldering";"device";"CP"
266;"D_Zener";"Diodes_THT:D_5W_P10.16mm_Horizontal";"device";"D_Zener"
267;"HEATSINK";"Heatsinks:Heatsink_Fischer_SK104-STCB_35x13mm__2xDrill3.5mm_ScrewM3";"heatsink";"HEATSINK"
268;"LED";"LEDs:LED_0603";"device";"LED"
269;"LM334Z";"TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval";"lm334z";"LM334Z"
270;"LT3081";"TO_SOT_Packages_THT:TO-220-7_Multiwatt-7_Vertical_StaggeredType1";"lt3081";"LT3081"
271;"MAX4080";"Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm";"max4080";"MAX4080"
272;"MCP1501";"Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm";"mcp1501";"MCP1501"
273;"MCP4131";"Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm";"mcp4131";"MCP4131"
274;"1k";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
275;"10k";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
276;"50";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
277;"10k**";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
278;"10**";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
279;"100";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
280;"100**";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
281;"2k2";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
282;"R";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
283;"0";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
284;"200k";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
285;"SW_PUSH";"Buttons_Switches_SMD:SW_SPST_B3S-1000";"sw_push";"SW_PUSH"
286;"TEST";"Measurement_Points:Measurement_Point_Round-SMD-Pad_Small";"device";"TEST"
287;"TLC272";"Housings_SSOP:TSSOP-8_4.4x3mm_Pitch0.65mm";"tlc272";"TLC272"
288;"TLV5616C";"Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm";"tlv5616c";"TLV5616C"
289;"dsPIC33EPXXXGP502";"Housings_SOIC:SOIC-28W_7.5x17.9mm_Pitch1.27mm";"dspic33epxxxgp502";"dsPIC33EPXXXGP502"
290;"1µ**";"Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Hand";"device";"C"
291;"10µ";"Capacitors_SMD:C_0603_HandSoldering";"device";"CP1"
292;"Fuse";"Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm";"device";"Fuse"
293;"HEATSINK";"Heatsinks:Heatsink_Fischer_SK104-STCB_35x13mm__2xDrill3.5mm_ScrewM3";"heatsink";"HEATSINK"
294;"LT3080";"TO_SOT_Packages_THT:TO-220-5_Pentawatt_Multiwatt-5_Vertical_StaggeredType1";"lt3080";"LT3080"
295;"500K*";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
296;"330K*";"Resistors_SMD:R_0603_HandSoldering";"device";"R"
297;"TEST";"Measurement_Points:Measurement_Point_Round-SMD-Pad_Small";"device";"TEST"
